n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
4523,P,1,1,-1,615,M,F,2752,S,-1,-8,false,1238
4524,M,4,5,-1,615,M,S,2752,S,0,-8,false,1238
4525,M,2,3,-1,615,M,S,2752,C,0,-8,false,1238
4526,M,3,3,-1,615,M,F,2753,S,-1,-9,false,1238
4527,M,2,3,-1,615,M,S,2753,S,0,-9,false,1238
4528,M,2,5,-1,615,M,S,2753,C,0,-9,false,1238
4529,M,2,2,1,615,M,F,2754,C,1,-8,true,1239
4530,M,4,4,1,615,M,F,2755,C,1,-7,false,1239
4531,M,2,2,1,615,M,F,2756,S,1,-6,true,1240
4532,M,3,4,1,615,M,S,2756,C,0,-6,false,1240
4533,M,2,2,1,615,M,F,2757,C,1,-5,true,1241
4534,M,2,2,1,615,M,F,2758,C,1,-4,true,1242
4535,M,2,2,1,615,M,F,2759,S,1,-3,true,1243
4536,M,3,8,1,615,M,S,2759,C,0,-3,false,1243
4537,M,2,2,1,615,M,F,2760,C,1,-2,true,1244
4538,M,2,2,1,615,M,F,2761,C,1,-1,true,1245
4539,M,3,3,-1,615,M,F,2762,S,-1,-2,false,1245
4540,M,3,4,1,615,M,S,2762,C,0,-2,false,1245
4541,M,2,2,1,615,M,F,2763,C,1,-1,true,1246
4542,M,3,3,-1,615,M,F,2764,C,-1,-2,false,1246
4543,M,3,3,-1,615,M,F,2765,S,-1,-3,false,1246
4544,M,2,7,-1,615,M,S,2765,S,0,-3,false,1246
4545,M,3,4,1,615,M,S,2765,C,0,-3,false,1246
4546,M,2,2,1,615,L,F,2766,C,1,-2,true,1247
4547,P,1,1,-1,616,M,F,2767,S,-1,-3,false,1247
4548,M,3,4,1,616,L,S,2767,C,0,-3,false,1247
4549,P,1,1,-1,617,M,F,2768,S,-1,-4,false,1247
4550,M,4,5,-1,617,M,S,2768,C,0,-4,false,1247
4551,M,3,3,-1,617,M,F,2769,S,-1,-5,false,1247
4552,M,2,4,1,617,M,S,2769,C,0,-5,false,1247
